subset,primary_keys,primary_key_value,source_snapshot_id,conflict_type,rows_in_conflict
snapshots,snapshot_timestamp_utc,2026-02-08 17:53:58.488529+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 18:53:58.434971+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 19:53:58.529925+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 20:53:58.405435+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 21:53:58.399802+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 22:53:58.386766+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 23:53:58.401586+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 00:53:58.420264+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 01:53:58.419765+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 02:53:58.410218+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 03:53:58.372031+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 04:53:58.421227+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 05:53:58.322289+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 06:53:58.366589+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 07:53:58.330361+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 08:53:58.402630+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 09:53:58.489824+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 11:21:21.669797+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 12:21:21.682925+00:00,2026-02-09,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-09 13:21:21.762543+00:00,2026-02-09,same_snapshot_conflict,2
